hasGeoGear,F,F
hasBeenYelledAt1,F,F
hasMetAngel,F,F
hasCompletedMission1,F,F
SharksIntroDone,F,F
SYSYesNoAnswer,F,F
hasTalkedToSelfMission1,F,F
hasGotCoinFromRoom,F,F
hasMetAngelOnMission1,F,F
hasRecievedFirstMonster,F,F
isSelectingAMonster,F,F
hasMetDarkTamers,F,F
hasRecievedGeoShocksFromSharks,F,F
M1.hasWitnessedAttackScene,F,F
AM1.SharksShowedShop,F,F
AM1.BossTalk,F,F
SYS.QUEST.E.UNLOCKED,F,F
SYS.QUEST.D.UNLOCKED,F,F
SYS.QUEST.C.UNLOCKED,F,F
SYS.QUEST.B.UNLOCKED,F,F
SYS.QUEST.A.UNLOCKED,F,F
SYS.QUEST.S.UNLOCKED,F,F
SYS.ZombieModeBefore,F,F
AM1.EnteredShop,F,F
AM1.MetLightTamer,F,F
SYS.TORN.E.UNLOCKED,F,F
SYS.TORN.D.UNLOCKED,F,F
SYS.TORN.C.UNLOCKED,F,F
SYS.TORN.B.UNLOCKED,F,F
SYS.TORN.A.UNLOCKED,F,F
SYS.TORN.S.UNLOCKED,F,F
M2.MetLightTamer,F,F
M2.MetOpposition1,F,F
M2.Completed,F,F
IAP.OnlinePlay,F,F
IAP.BreedingShrine,F,F
IAP.Unused1,F,F
IAP.Unused2,F,F
IAP.Unused3,F,F
AM2.MetLightTamer,F,F
M3.Completed,F,F
M3.Switch.1,F,F
M3.Switch.2,F,F
M3.Switch.3,F,F
M3.Switch.4,F,F
M3.Switch.5,F,F
M3.Switch.6,F,F
M3.Switch.7,F,F
M3.Switch.8,F,F
M4.Completed,F,F
M4.MetLightTamer,F,F
BM1.TalkedToSelf,F,F
AM3.BossSpeech,F,F
AM4.BossSpeech,F,F
